source_table,target_column,descriptor_family,model,split_type,repeat,y_true,y_pred,observed_percentile,predicted_percentile
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.386038,3.5911547700000006,0.6889168765743073,0.628463476070529
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.692234,0.8906243300000002,0.22753988245172124,0.19605373635600337
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,9.992045,8.84044206333333,0.8790931989924433,0.8660789252728799
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.190251,0.2399208733333336,0.020570948782535684,0.007136859781696054
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.599666,1.2683644433333328,0.48530646515533166,0.290512174643157
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,5.301722,2.514069416666668,0.7783375314861462,0.5235096557514693
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.155145,10.005704256666666,0.6721242653232578,0.8900083963056256
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.496651,0.4292331866666662,0.15113350125944586,0.049958018471872374
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.444572,1.011288343333333,0.12594458438287154,0.22544080604534006
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,4.932598,6.599333343333345,0.7657430730478589,0.7854743912678421
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.175952,1.9022987300000016,0.5747271200671704,0.43912678421494544
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,10.898339,6.93072287666666,0.8912678421494542,0.7989084802686818
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.805732,2.0658532933333347,0.5197313182199832,0.4626364399664148
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.89477,1.153006069999998,0.2972292191435768,0.2661628883291352
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.64702,1.6201778366666657,0.2086481947942905,0.3853904282115869
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.912697,8.369517920000002,0.6544920235096557,0.8501259445843828
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,29.799768,11.821997869999988,0.9760705289672544,0.9160369437447523
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.642197,1.355597903333334,0.7036104114189756,0.32073887489504616
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.040225,3.067964673333331,0.6645675902602854,0.5843828715365239
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.939799,1.790351576666668,0.3157010915197313,0.4181360201511335
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.738646,4.290224680000002,0.709487825356843,0.6729638958858103
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.389061,3.811291686666668,0.445424013434089,0.6465155331654072
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.179588,2.220243369999998,0.6746431570109152,0.48446683459277917
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.900818,7.169527129999989,0.7174643157010915,0.8073047858942065
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,4.482438,10.927731040000015,0.743073047858942,0.9055415617128464
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.074132,1.703352839999999,0.3610411418975651,0.40134340890008396
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.637346,0.6383461733333333,0.20570948782535683,0.12132661628883291
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.171667,0.2745549600000004,0.014273719563392108,0.015113350125944584
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.984571,1.588707076666668,0.3316540722082284,0.382031905961377
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.131342,2.461479296666667,0.6712846347607053,0.5172124265323258
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,8.85503,9.160012993333348,0.8623005877413937,0.8744752308984047
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.917602,1.142687856666665,0.3052057094878254,0.26280436607892527
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.622716,1.1836733633333352,0.1998320738874895,0.2707808564231738
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.277878,0.3613873533333337,0.05499580184718724,0.03442485306465155
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.973606,1.5704000033333332,0.5474391267842149,0.37825356842989083
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.359153,0.7079751600000002,0.09109991603694374,0.1452560873215785
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.449053,2.735672156666669,0.12804366078925272,0.5470193115029387
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,14.601857,10.639457209999982,0.9252728799328296,0.9009235936188077
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.994131,1.4987833300000002,0.3350125944584383,0.3614609571788413
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.836669,9.041782039999989,0.6481947942905122,0.8719563392107472
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.840254,1.0164428666666678,0.281696053736356,0.22837951301427373
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.867075,2.78540202,0.5281276238455079,0.5554156171284634
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,7.838852,4.408353510000001,0.845088161209068,0.6809403862300588
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.571374,0.4264299466666669,0.181360201511335,0.04953820319059614
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.17398,2.7572871300000013,0.38581024349286314,0.5516372795969773
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.514171,7.347978856666667,0.6175482787573467,0.8161209068010076
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,28.935294,38.79405925333332,0.9748110831234257,0.9907640638119227
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.56825,0.4879660099999997,0.18052057094878254,0.07136859781696053
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.167055,0.2898359066666668,0.0109151973131822,0.020151133501259445
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,6.899232,7.210308679999998,0.8261964735516373,0.8094038623005877
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.616636,0.5116521633333339,0.19731318219983207,0.07892527287993283
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.813578,0.8005179233333337,0.27246011754827876,0.17296389588581024
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.65781,0.4525337433333334,0.2141057934508816,0.05709487825356843
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,6.100525,4.902202229999997,0.8089840470193115,0.7107472712006717
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.094083,3.241593530000002,0.5600335852225021,0.600335852225021
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.42481,2.161374118333333,0.6049538203190596,0.47691015952980687
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,15.484955,12.103993786666669,0.9328295549958019,0.9198152812762385
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.397597,0.9670462533333328,0.10663308144416457,0.21536523929471033
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.940538,7.141642883333323,0.6565910999160369,0.8056255247691015
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,5.738509,8.011814046666665,0.7959697732997482,0.837951301427372
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.065448,3.565195289999997,0.35768261964735515,0.625104953820319
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.696544,1.0063050800000013,0.23005877413937867,0.22334172963895885
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.249474,0.3484003333333335,0.04240134340890008,0.031486146095717885
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,4.045036,4.906286966666659,0.7208228379513014,0.7115869017632241
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.423374,5.293113126666667,0.6045340050377834,0.7304785894206549
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.183335,0.2539561333333334,0.018052057094878254,0.010075566750629723
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,4.952728,10.61628422000001,0.7665827036104114,0.9005037783375315
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.970165,1.1198380999999988,0.32871536523929473,0.25566750629722923
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.522503,2.294497746666666,0.6188077246011755,0.49370277078085645
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,14.96863,9.404162996666656,0.929471032745592,0.8786733837111671
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,10.202242,9.002331019999993,0.8807724601175483,0.8706968933669186
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.911642,1.1199912466666673,0.3043660789252729,0.25608732157850544
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,36.031489,23.43781513666669,0.9853064651553316,0.9785894206549118
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.675255,1.4444851633333344,0.21998320738874896,0.3434089000839631
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,8.146274,5.899435926666647,0.8505457598656591,0.756926952141058
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.498602,0.9915296733333334,0.15197313182199831,0.21956339210747272
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.967601,2.1065764433333323,0.5465994962216625,0.46977329974811083
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.14347,1.0930453233333326,0.37699412258606213,0.2489504617968094
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.534529,19.712713656666697,0.6960537363560033,0.9680940386230059
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.821895,4.399065146666665,0.6465155331654072,0.6796809403862301
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.327527,3.59145023333334,0.43031066330814444,0.6288832913518052
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.967037,0.8983741400000017,0.32787573467674225,0.19899244332493704
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,11.069875,5.06559926666667,0.8929471032745592,0.7174643157010915
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.316257,3.174219820000008,0.5881612090680101,0.5948782535684299
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,8.636471,5.685978846666659,0.8576826196473551,0.7455919395465995
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.571173,10.728581583333334,0.6246851385390428,0.9026028547439127
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,9.861326,5.843599553333338,0.8778337531486146,0.7527287993282955
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.710272,1.180274343333334,0.2346767422334173,0.2691015952980689
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.011475,2.4328737700000045,0.5524769101595298,0.5130142737195634
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.275603,0.8128330766666658,0.05289672544080604,0.17632241813602015
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,9.685092,12.105151256666664,0.8753148614609572,0.9202350965575147
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.670408,1.3811152366666652,0.21788413098236775,0.3261964735516373
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,14.888577,7.267737296666668,0.9286314021830394,0.8106633081444165
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.906626,9.568798703333345,0.5373635600335852,0.882031905961377
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,17.322265,10.153816943333338,0.9420654911838791,0.892527287993283
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.873574,1.5264901900000032,0.29219143576826195,0.3669185558354324
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.451765,1.37932667333333,0.12930310663308145,0.3245172124265323
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.88269,4.299748973333328,0.5323257766582704,0.6738035264483627
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.566747,3.9857697500000033,0.47858942065491183,0.6565910999160369
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,19.106592,8.844212816666667,0.9513014273719563,0.8669185558354324
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.479894,1.7207747466666694,0.14147774979009237,0.40470193115029385
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.291716,1.5220407316666644,0.42065491183879095,0.36607892527287994
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,24.189126,12.790316629999978,0.9680940386230059,0.9252728799328296
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.412888,1.1305404666666683,0.11418975650713686,0.2598656591099916
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,4.074061,6.201682603333337,0.7216624685138538,0.7682619647355163
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.533536,0.9849962266666672,0.1658270361041142,0.21872376154492024
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.65333,1.2384702700000003,0.20990764063811923,0.28253568429890846
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,7.666752,20.25121181000001,0.8417296389588581,0.9710327455919395
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,7.349398,8.157958516666664,0.8350125944584383,0.8434089000839631
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,15.622037,9.52439480333334,0.9336691855583543,0.8807724601175483
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.793979,2.2211274199999997,0.2665827036104114,0.48530646515533166
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.734521,2.1792119966666665,0.2455919395465995,0.4794290512174643
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.68187,9.088139486666655,0.7065491183879093,0.873215785054576
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.720722,0.4257287800000002,0.23845507976490343,0.0491183879093199
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,9.595795,12.757752860000004,0.8744752308984047,0.9240134340890008
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,3.776894,8.471643389999997,0.7124265323257767,0.8530646515533166
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.550182,0.4467279000000007,0.17338371116708648,0.054575986565911
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.32038,0.6464756566666661,0.0743073047858942,0.1255247691015953
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.027414,1.727392030000002,0.5541561712846348,0.4068010075566751
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.930151,1.0570264100000009,0.31192275398824515,0.23719563392107473
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.325335,3.414401493333329,0.589840470193115,0.612510495382032
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.557874,4.502786426666664,0.4760705289672544,0.6859781696053736
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.541391,0.5328124799999993,0.16960537363560033,0.0873215785054576
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.690015,1.0516990133333326,0.22544080604534006,0.235936188077246
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.987857,7.885438503333336,0.6607892527287993,0.8337531486146096
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.441528,0.3043760966666665,0.12426532325776658,0.02434928631402183
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.89207,6.446254131666664,0.5340050377833753,0.7774979009235936
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.887446,3.9234927166666633,0.6523929471032746,0.6540722082283795
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.021659,1.445248313333333,0.3413098236775819,0.3438287153652393
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,7.874945,7.862182496666665,0.8459277917716205,0.832913518052057
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.451449,0.4477479366666671,0.12846347607052896,0.05499580184718724
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.967444,10.449178726666666,0.6586901763224181,0.8975650713685979
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.392293,4.34946993333333,0.6007556675062973,0.6771620486985727
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,9.461933,6.510813306666669,0.8727959697732998,0.7812762384550798
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,5.256717,8.985191176666675,0.7762384550797649,0.8702770780856424
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.731662,3.257559312222221,0.6402183039462637,0.6032745591939547
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.925723,1.065083123333334,0.30940386230058775,0.23971452560873216
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,5.200276,4.606702293333334,0.7753988245172124,0.6935348446683459
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.985413,2.112205979999999,0.3320738874895046,0.4706129303106633
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,30.892888,24.28513989666663,0.9785894206549118,0.9815281276238456
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,4.826359,1.1528314433333322,0.7594458438287154,0.26574307304785894
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,4.315637,12.222502863333352,0.7342569269521411,0.9206549118387909
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.040224,1.108277876666668,0.34802686817800166,0.2523089840470193
